"","common.name","scientific.name","image.lookup.text"
"385","manioc","Manihot esculenta","Manihot esculenta"
"386","tapioca","Manihot esculenta","Manihot esculenta"
"387","yuca","Manihot esculenta","Manihot esculenta"
"388","annual mercury","Mercurialis annua","Mercurialis annua"
"389","herb mercury","Mercurialis annua","Mercurialis annua"
"390","wolf's milk","Euphorbia esula","Euphorbia esula"
"391","goatnut","Simmondsia chinensis","Simmondsia chinensis"
"392","jojoba","Simmondsia chinensis","Simmondsia chinensis"
"393","boxwood family","Buxaceae","Buxaceae"
"394","flax family","Linaceae","Linaceae"
"395","sumac family","Anacardiaceae","Anacardiaceae"
"396","Chinese lacquer","Toxicodendron vernicifluum","Toxicodendron vernicifluum"
"397","Japanese lacquer tree","Toxicodendron vernicifluum","Toxicodendron vernicifluum"
"398","Japanese lacquer-tree","Toxicodendron vernicifluum","Toxicodendron vernicifluum"
"399","varnish tree","Toxicodendron vernicifluum","Toxicodendron vernicifluum"
"400","frankincense family","Burseraceae","Burseraceae"
"401","nasturtium family","Tropaeolaceae","Tropaeolaceae"
"402","geranium family","Geraniaceae","Geraniaceae"
"403","bedding geranium","Pelargonium x hortorum","Pelargonium x hortorum"
"404","house geranium","Pelargonium x hortorum","Pelargonium x hortorum"
"405","zonal geranium","Pelargonium x hortorum","Pelargonium x hortorum"
"406","zonal pelargonium","Pelargonium x hortorum","Pelargonium x hortorum"
"407","wood-sorrel family","Oxalidaceae","Oxalidaceae"
"408","carrot family","Apiaceae","Apiaceae"
"409","carrot","Daucus carota","Daucus carota"
"410","Queen Anne's lace","Daucus carota","Daucus carota"
"411","cilantro","Coriandrum sativum","Coriandrum sativum"
"412","navelwort","Hydrocotyle","Hydrocotyle"
"413","ginseng family","Araliaceae","Araliaceae"
"414","English ivy","Hedera helix","Hedera helix"
"415","Asiatic ginseng","Panax ginseng","Panax ginseng"
"416","Chinese ginseng","Panax ginseng","Panax ginseng"
"417","ginseng","Panax ginseng","Panax ginseng"
"418","hong shen","Panax ginseng","Panax ginseng"
"419","insam","Panax ginseng","Panax ginseng"
"420","jinso","Panax ginseng","Panax ginseng"
"421","Korean ginseng","Panax ginseng","Panax ginseng"
"422","ninjin","Panax ginseng","Panax ginseng"
"423","ren seng","Panax ginseng","Panax ginseng"
"424","sansam","Panax ginseng","Panax ginseng"
"425","dogbane family","Apocynaceae","Apocynaceae"
"426","chata","Catharanthus roseus","Catharanthus roseus"
"427","chula","Catharanthus roseus","Catharanthus roseus"
"428","old-maid","Catharanthus roseus","Catharanthus roseus"
"429","rosy periwinkle","Catharanthus roseus","Catharanthus roseus"
"430","devilpepper","Rauvolfia serpentina","Rauvolfia serpentina"
"431","bowstring hemp","Calotropis gigantea","Calotropis gigantea"
"432","madar","Calotropis gigantea","Calotropis gigantea"
"433","nightshade family","Solanaceae","Solanaceae"
"434","bird pepper","Capsicum frutescens","Capsicum frutescens"
"435","chili pepper","Capsicum frutescens","Capsicum frutescens"
